DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation
10X351,X351,Bronx Collaborative High School,High School,Bronx,587,8.593,0.509,9.102,0.857,0.702,0.446,0.066,67.2,66.3,0.034,0.288,0.63,0.034,0.014,121,121,121,503,20,370,169,20,8,6.1,2.704,2.442,0.959,0.757,0.341,0.191,0.23,0.191,0.77,0.614,0.659,Low Graduation
10X353,X353,World View High School,High School,Bronx,551,7.94,0.507,8.447,0.812,0.927,0.404,0.385,69.8,69.0,0.011,0.232,0.717,0.007,0.033,109,109,109,447,4,395,128,6,18,5.4,2.75,2.603,0.998,0.912,0.712,0.25,0.18,0.167,0.695,0.533,0.288,Medium Graduation
10X368,X368,In-Tech Academy (M.S. / High School 368),High School,Bronx,542,14.006,1.237,15.243,0.784,0.907,0.694,0.574,72.9,61.2,0.05,0.09,0.793,0.048,0.019,108,108,108,425,26,430,49,27,10,4.1,2.922,2.573,0.962,0.917,0.73,0.127,0.232,0.09,0.69,0.886,0.27,Medium Graduation
10X374,X374,Knowledge and Power Preparatory Academy Internatio,High School,Bronx,464,6.509,0.502,7.011,0.853,0.879,0.642,0.451,76.1,68.7,0.022,0.265,0.664,0.028,0.021,124,123,123,396,13,308,123,10,10,12.0,2.841,2.681,0.965,0.85,0.552,0.11,0.25,0.123,0.761,0.692,0.448,Medium Graduation
10X433,X433,High School for Teaching and the Professions,High School,Bronx,414,7.761,0.452,8.213,0.934,0.82,0.29,0.13,66.0,61.6,0.027,0.145,0.771,0.046,0.011,100,100,100,387,19,319,60,11,5,0.6,2.554,2.335,0.95,0.849,0.519,0.263,0.237,0.242,0.821,0.906,0.481,Medium Graduation
10X434,X434,Belmont Preparatory High School,High School,Bronx,390,6.217,0.396,6.613,0.851,0.828,0.632,0.523,68.7,64.0,0.046,0.218,0.71,0.013,0.013,87,87,87,332,5,277,85,18,5,12.1,2.7,2.534,0.97,0.889,0.713,0.121,0.233,0.123,0.764,0.862,0.287,Medium Graduation
10X437,X437,Fordham High School for the Arts,High School,Bronx,319,5.766,0.328,6.094,0.806,0.952,0.758,0.839,77.7,73.3,0.016,0.398,0.555,0.022,0.009,62,62,62,257,7,177,127,5,3,15.1,3.054,2.811,0.98,0.911,0.747,0.038,0.223,0.1,0.702,0.382,0.253,High Graduation
10X438,X438,Fordham Leadership Academy,High School,Bronx,352,6.756,0.485,7.241,0.898,0.851,0.478,0.41,65.5,60.6,0.028,0.256,0.696,0.014,0.006,67,67,67,316,5,245,90,10,2,4.1,2.52,2.264,0.97,0.944,0.861,0.199,0.241,0.159,0.798,0.303,0.139,Medium Graduation
10X439,X439,Bronx High School for Law and Community Service,High School,Bronx,402,6.463,0.432,6.895,0.883,0.952,0.747,0.458,74.7,67.6,0.012,0.274,0.667,0.025,0.022,83,83,83,355,10,268,110,5,9,8.9,2.749,2.462,0.964,0.873,0.579,0.129,0.256,0.152,0.813,0.818,0.421,High Graduation
10X440,X440,DeWitt Clinton High School,High School,Bronx,1119,18.252,1.503,19.755,0.842,0.784,0.439,0.636,66.9,60.5,0.106,0.318,0.52,0.032,0.024,305,305,305,942,36,582,356,119,27,2.5,2.762,2.534,0.968,0.821,0.521,0.148,0.189,0.171,0.737,0.37,0.479,Low Graduation
10X442,X442,"Celia Cruz Bronx High School of Music, The",High School,Bronx,421,7.029,0.543,7.572,0.782,0.969,0.563,0.438,78.1,70.7,0.014,0.266,0.66,0.014,0.046,96,96,96,329,6,278,112,6,19,6.4,2.971,2.742,0.954,0.916,0.714,0.057,0.238,0.116,0.677,0.862,0.286,High Graduation
10X445,X445,The Bronx High School of Science,High School,Bronx,3016,28.346,0.013,28.359,0.386,0.996,0.996,0.999,95.0,92.7,0.648,0.027,0.071,0.222,0.032,741,741,741,1164,670,214,81,1954,97,5.9,4.095,4.326,0.965,0.967,0.924,0.0,0.015,0.015,0.294,0.897,0.076,High Graduation
10X477,X477,Marble Hill High School for International Studies,High School,Bronx,448,6.078,0.493,6.571,0.859,0.955,0.901,0.784,81.8,72.7,0.138,0.15,0.65,0.047,0.015,111,111,111,385,21,291,67,62,7,11.9,2.892,2.901,0.966,0.93,0.807,0.297,0.134,0.205,0.725,0.839,0.193,High Graduation
10X524,X524,Crotona International High School,High School,Bronx,333,5.426,0.408,5.834,0.988,0.733,0.372,0.593,53.5,60.6,0.045,0.06,0.877,0.018,0.0,86,86,86,329,6,292,20,15,0,3.9,1.733,1.853,0.968,0.884,0.736,0.958,0.054,0.393,0.778,0.346,0.264,Low Graduation
10X546,X546,Bronx Theatre High School,High School,Bronx,347,5.591,0.351,5.942,0.913,0.835,0.418,0.203,73.1,64.9,0.012,0.323,0.622,0.026,0.017,79,79,79,317,9,216,112,4,6,1.9,2.614,2.183,0.974,0.804,0.435,0.058,0.233,0.196,0.816,0.75,0.565,Medium Graduation
10X549,X549,Discovery High School,High School,Bronx,489,6.775,0.592,7.367,0.907,0.825,0.467,0.525,74.6,73.7,0.045,0.166,0.763,0.022,0.004,120,120,120,444,11,373,81,22,2,12.1,2.552,2.306,0.978,0.891,0.744,0.254,0.252,0.192,0.8,0.667,0.256,Medium Graduation
10X565,X565,High School for Energy and Technology,High School,Bronx,406,6.657,0.424,7.08,0.89,0.743,0.286,0.362,69.3,62.9,0.039,0.239,0.702,0.012,0.008,105,105,105,361,5,285,97,16,3,3.7,2.559,2.353,0.967,0.831,0.49,0.143,0.271,0.18,0.793,0.625,0.51,Low Graduation
10X696,X696,High School of American Studies at Lehman College,High School,Bronx,411,5.371,0.002,5.373,0.26,1.0,1.0,1.0,96.6,86.6,0.219,0.039,0.105,0.586,0.051,100,100,100,107,241,43,16,90,21,12.9,4.086,4.263,0.967,0.961,0.91,0.0,0.027,0.019,0.168,0.96,0.09,High Graduation
11X249,X249,Bronx Health Sciences High School,High School,Bronx,295,4.263,0.227,4.49,0.705,1.0,0.723,0.702,75.2,64.2,0.064,0.556,0.322,0.037,0.021,47,47,47,208,11,95,164,19,6,15.1,2.837,2.644,0.985,0.944,0.836,0.047,0.115,0.112,0.59,0.789,0.164,High Graduation
11X253,X253,Bronx High School for Writing and Communication Ar,High School,Bronx,317,4.91,0.297,5.207,0.818,0.705,0.337,0.195,67.1,62.7,0.047,0.476,0.442,0.022,0.013,95,95,95,259,7,140,151,15,4,8.0,2.54,2.225,0.977,0.842,0.605,0.155,0.237,0.174,0.688,0.652,0.395,Low Graduation
11X265,X265,Bronx Lab School,High School,Bronx,371,6.687,0.493,7.18,0.897,0.762,0.455,0.307,68.7,66.49,0.027,0.348,0.563,0.032,0.03,101,101,101,333,12,209,129,10,11,5.6,2.523,2.254,0.956,0.806,0.51,0.154,0.305,0.181,0.825,0.774,0.49,Low Graduation
11X270,X270,Academy for Scholarship and Entrepreneurship: A Co,High School,Bronx,368,6.348,0.489,6.837,0.784,0.698,0.368,0.571,72.2,57.4,0.016,0.641,0.304,0.019,0.02,106,106,106,289,7,112,236,6,7,14.1,2.534,2.241,0.95,0.84,0.503,0.052,0.226,0.163,0.696,0.778,0.497,Low Graduation
11X275,X275,High School of Computers and Technology,High School,Bronx,542,8.675,0.599,9.274,0.837,0.833,0.556,0.731,70.8,68.3,0.081,0.352,0.535,0.015,0.017,108,108,108,454,8,290,191,44,9,1.4,2.715,2.559,0.955,0.871,0.677,0.081,0.258,0.168,0.734,0.838,0.323,Medium Graduation
11X288,X288,Collegiate Institute for Math and Science,High School,Bronx,607,7.204,0.475,7.68,0.719,0.897,0.776,0.628,81.4,66.2,0.114,0.343,0.404,0.119,0.02,156,156,156,436,72,245,208,69,12,5.0,3.189,3.12,0.964,0.888,0.715,0.033,0.181,0.064,0.603,0.794,0.285,Medium Graduation
11X290,X290,Bronx Academy of Health Careers,High School,Bronx,359,5.878,0.383,6.261,0.855,0.845,0.381,0.244,68.9,59.6,0.039,0.418,0.518,0.011,0.014,84,84,84,307,4,186,150,14,5,6.9,2.608,2.286,0.969,0.9,0.674,0.131,0.214,0.223,0.744,0.815,0.326,Medium Graduation
11X299,X299,Astor Collegiate Academy,High School,Bronx,500,6.291,0.471,6.761,0.752,0.722,0.435,0.356,67.5,64.2,0.08,0.276,0.49,0.122,0.032,108,108,108,376,61,245,138,40,16,8.7,2.747,2.561,0.972,0.838,0.575,0.076,0.23,0.102,0.636,0.7,0.425,Low Graduation
11X418,X418,Bronx High School for the Visual Arts,High School,Bronx,461,7.534,0.64,8.174,0.79,0.761,0.368,0.363,70.1,60.7,0.037,0.269,0.588,0.095,0.011,117,117,117,364,44,271,124,17,5,4.1,2.689,2.333,0.957,0.835,0.484,0.061,0.291,0.121,0.685,0.743,0.516,Low Graduation
11X455,X455,Harry S Truman High School,High School,Bronx,2081,26.561,2.246,28.807,0.759,0.743,0.401,0.37,72.0,64.9,0.032,0.5,0.42,0.031,0.017,509,509,509,1579,65,874,1040,67,35,5.9,2.62,2.301,0.965,0.89,0.747,0.084,0.254,0.159,0.665,0.79,0.253,Low Graduation
11X508,X508,Bronxdale High School,High School,Bronx,459,8.704,0.428,9.132,0.76,0.811,0.351,0.216,65.5,60.6,0.05,0.281,0.571,0.083,0.015,111,111,111,349,38,262,129,23,7,7.2,2.81,2.532,0.963,0.846,0.486,0.068,0.233,0.113,0.643,0.59,0.514,Medium Graduation
11X509,X509,High School of Language and Innovation,High School,Bronx,379,6.366,0.639,7.004,0.977,0.832,0.4,0.579,63.6,71.2,0.201,0.058,0.538,0.187,0.016,95,95,95,370,71,204,22,76,6,8.1,2.033,2.167,0.973,0.902,0.662,0.802,0.045,0.269,0.815,0.563,0.338,Medium Graduation
11X513,X513,New World High School,High School,Bronx,381,5.526,0.45,5.976,0.941,0.835,0.582,0.658,67.9,72.8,0.097,0.121,0.669,0.11,0.003,79,79,79,359,42,255,46,37,1,1.8,2.097,2.146,0.975,0.898,0.712,0.688,0.068,0.231,0.777,0.68,0.288,Medium Graduation
11X514,X514,The Bronxwood Preparatory Academy,High School,Bronx,360,5.466,0.393,5.859,0.753,0.629,0.268,0.175,71.7,66.7,0.039,0.633,0.261,0.036,0.031,97,97,97,271,13,94,228,14,11,14.1,2.571,2.147,0.956,0.906,0.709,0.097,0.219,0.131,0.653,0.731,0.291,Low Graduation
11X542,X542,Pelham Preparatory Academy,High School,Bronx,511,6.11,0.363,6.473,0.742,0.864,0.486,0.354,78.4,61.4,0.074,0.254,0.55,0.104,0.018,140,140,140,379,53,281,130,38,9,3.0,2.891,2.606,0.955,0.885,0.656,0.061,0.245,0.106,0.63,0.793,0.344,Medium Graduation
11X544,X544,High School for Contemporary Arts,High School,Bronx,395,6.77,0.478,7.248,0.876,0.816,0.374,0.187,71.4,58.8,0.018,0.395,0.542,0.035,0.01,147,147,147,346,14,214,156,7,4,3.7,2.524,2.185,0.964,0.859,0.613,0.172,0.253,0.182,0.765,0.893,0.387,Medium Graduation
11X545,X545,Bronx Aerospace High School,High School,Bronx,322,6.026,0.54,6.565,0.868,0.663,0.151,0.174,66.4,59.1,0.053,0.376,0.525,0.022,0.024,86,86,86,279,7,169,121,17,8,5.0,2.427,2.164,0.959,0.76,0.326,0.18,0.267,0.227,0.767,0.87,0.674,Low Graduation
12X242,X242,Mott Hall V,High School,Bronx,372,9.995,0.653,10.648,0.866,0.848,0.657,0.444,74.8,69.5,0.051,0.161,0.782,0.005,0.001,99,99,99,322,2,291,60,19,0,14.1,2.727,2.412,0.968,0.884,0.582,0.099,0.28,0.075,0.78,0.719,0.418,Medium Graduation
12X248,X248,"Metropolitan High School, The",High School,Bronx,356,7.445,0.448,7.893,0.935,0.593,0.212,0.084,59.9,61.9,0.011,0.236,0.725,0.017,0.011,113,113,113,333,6,258,84,4,4,1.9,2.353,2.116,0.968,0.777,0.365,0.225,0.303,0.239,0.851,0.632,0.635,Low Graduation
12X251,X251,Explorations Academy H.S.,High School,Bronx,326,4.91,0.436,5.346,0.921,0.65,0.36,0.225,64.7,61.3,0.015,0.279,0.69,0.006,0.01,100,100,100,300,2,225,91,5,3,12.0,2.419,2.245,0.958,0.821,0.478,0.218,0.245,0.202,0.819,0.667,0.522,Low Graduation
12X267,X267,Bronx Latin,High School,Bronx,338,9.08,0.771,9.851,0.891,0.901,0.527,0.363,71.5,68.3,0.015,0.198,0.772,0.012,0.003,91,91,91,301,4,261,67,5,1,6.9,2.673,2.597,0.965,0.889,0.701,0.121,0.237,0.077,0.808,0.519,0.299,Medium Graduation
12X271,X271,East Bronx Academy for the Future,High School,Bronx,388,11.38,0.781,12.161,0.926,0.746,0.491,0.189,71.4,62.7,0.021,0.255,0.693,0.015,0.016,114,114,114,359,6,269,99,8,6,15.1,2.533,2.312,0.945,0.83,0.522,0.16,0.309,0.17,0.858,0.672,0.478,Low Graduation
12X388,X388,Pan American International High School at Monroe,High School,Bronx,444,6.761,0.557,7.318,0.979,0.839,0.475,0.623,71.1,69.6,0.0,0.005,0.993,0.0,0.002,118,118,118,435,0,441,2,0,1,11.1,1.768,1.864,0.982,0.875,0.595,0.878,0.032,0.329,0.723,0.722,0.405,Medium Graduation
12X478,X478,The Cinema School,High School,Bronx,317,3.865,0.259,4.124,0.845,0.985,0.672,0.485,79.9,71.3,0.016,0.161,0.729,0.035,0.059,67,67,67,268,11,231,51,5,19,5.9,3.053,2.854,0.972,0.888,0.624,0.047,0.189,0.12,0.726,0.5,0.376,High Graduation
12X479,X479,Bronx Career and College Preparatory High School,High School,Bronx,268,4.337,0.33,4.667,0.927,0.583,0.238,0.06,57.1,61.1,0.026,0.358,0.593,0.004,0.019,84,84,84,248,1,159,96,7,5,4.0,2.479,2.228,0.955,0.806,0.434,0.239,0.287,0.239,0.851,0.7,0.566,Low Graduation
12X511,X511,Bronx Envision Academy,High School,Bronx,418,6.611,0.438,7.049,0.899,0.752,0.438,0.338,66.6,59.9,0.022,0.337,0.61,0.017,0.014,105,105,105,376,7,255,141,9,6,8.1,2.609,2.236,0.963,0.847,0.509,0.167,0.242,0.199,0.792,0.686,0.491,Low Graduation
12X521,X521,The Metropolitan Soundview High School,High School,Bronx,423,6.884,0.431,7.315,0.886,0.722,0.352,0.204,71.3,63.0,0.026,0.232,0.719,0.017,0.006,108,108,108,375,7,304,98,11,3,3.9,2.467,2.202,0.962,0.816,0.449,0.156,0.239,0.144,0.783,0.694,0.551,Low Graduation
12X550,X550,High School of World Cultures,High School,Bronx,459,6.333,0.595,6.928,0.981,0.574,0.235,0.413,64.5,63.4,0.094,0.089,0.758,0.046,0.013,115,115,115,450,21,348,41,43,6,15.9,2.056,2.06,0.974,0.855,0.575,0.797,0.044,0.235,0.804,0.485,0.425,Low Graduation
12X682,X682,Fannie Lou Hamer Freedom High School,High School,Bronx,471,7.594,0.568,8.162,0.905,0.736,0.455,0.095,61.1,66.49,0.008,0.282,0.677,0.013,0.02,121,121,121,426,6,319,133,4,9,4.9,2.412,2.1,0.979,0.789,0.381,0.127,0.318,0.187,0.83,0.829,0.619,Low Graduation
12X684,X684,Wings Academy,High School,Bronx,463,6.971,0.585,7.555,0.916,0.63,0.239,0.109,66.0,56.8,0.004,0.562,0.397,0.015,0.022,92,92,92,424,7,184,260,2,10,5.6,2.37,2.073,0.962,0.777,0.373,0.05,0.302,0.184,0.86,0.848,0.627,Low Graduation
13K265,K265,Dr. Susan S. McKinney Secondary School of the Arts,High School,Brooklyn,223,6.435,0.624,7.059,0.88,0.691,0.273,0.327,74.1,57.8,0.018,0.726,0.229,0.009,0.018,55,55,55,196,2,51,162,4,4,4.9,2.685,2.263,0.959,0.779,0.452,0.022,0.229,0.148,0.798,1.0,0.548,Low Graduation
13K350,K350,Urban Assembly School for Music and Art,High School,Brooklyn,207,3.278,0.275,3.553,0.838,0.86,0.36,0.24,69.0,58.1,0.005,0.739,0.227,0.019,0.01,50,50,50,173,4,47,153,1,2,14.1,2.75,2.357,0.968,0.809,0.474,0.043,0.237,0.145,0.768,0.533,0.526,Medium Graduation
13K412,K412,Brooklyn Community Arts & Media High School (BCAM),High School,Brooklyn,421,6.616,0.379,6.995,0.811,0.837,0.442,0.326,61.6,64.0,0.01,0.696,0.276,0.007,0.011,86,86,86,341,3,116,293,4,5,13.1,2.72,2.317,0.985,0.841,0.54,0.036,0.266,0.138,0.732,0.742,0.46,Medium Graduation
13K419,K419,"Science Skills Center High School for Science, Tec",High School,Brooklyn,570,7.156,0.628,7.784,0.75,0.955,0.745,0.709,73.2,69.3,0.081,0.667,0.177,0.042,0.033,110,110,110,428,24,101,380,46,19,7.2,2.959,2.836,0.972,0.918,0.727,0.033,0.144,0.114,0.625,0.765,0.273,High Graduation
13K430,K430,Brooklyn Technical High School,High School,Brooklyn,5937,57.611,0.485,58.096,0.521,0.968,0.968,0.998,93.4,88.9,0.607,0.058,0.071,0.245,0.019,1418,1418,1418,3093,1455,422,344,3604,113,2.5,4.03,4.27,0.967,0.955,0.894,0.0,0.013,0.033,0.408,0.89,0.106,High Graduation
13K439,K439,Brooklyn International High School,High School,Brooklyn,359,5.205,0.319,5.524,0.946,0.743,0.476,0.324,62.0,66.49,0.251,0.206,0.435,0.109,-0.001,105,105,105,340,39,156,74,90,0,4.9,1.985,2.258,0.981,0.907,0.688,0.763,0.033,0.148,0.777,0.885,0.312,Low Graduation
13K483,K483,The Urban Assembly School for Law and Justice,High School,Brooklyn,435,5.855,0.345,6.2,0.69,0.948,0.68,0.351,80.5,67.1,0.025,0.667,0.267,0.018,0.023,97,97,97,300,8,116,290,11,10,2.0,2.876,2.604,0.976,0.884,0.615,0.021,0.172,0.094,0.579,0.833,0.385,Medium Graduation
13K499,K499,ACORN Community High School,High School,Brooklyn,150,3.383,0.243,3.626,0.852,0.727,0.318,0.398,68.3,62.7,0.033,0.787,0.133,0.027,0.02,44,44,44,128,4,20,118,5,3,9.0,2.58,2.275,0.961,0.701,0.289,0.047,0.273,0.14,0.793,1.0,0.711,Low Graduation
13K527,K527,Urban Assembly Institute of Math and Science for Y,High School,Brooklyn,295,6.185,0.386,6.571,0.799,0.9,0.557,0.179,72.0,63.7,0.088,0.586,0.166,0.139,0.021,70,70,70,236,41,49,173,26,6,8.9,2.786,2.5,0.97,0.849,0.493,0.081,0.173,0.068,0.702,0.639,0.507,Medium Graduation
13K594,K594,Gotham Professional Arts Academy,High School,Brooklyn,178,3.234,0.126,3.36,0.86,0.75,0.344,0.031,66.3,66.49,0.006,0.775,0.208,0.006,0.005,32,32,32,153,1,37,138,1,1,0.7,2.555,2.277,0.984,0.804,0.436,0.039,0.36,0.23,0.758,0.867,0.564,Low Graduation
13K595,K595,Bedford Academy High School,High School,Brooklyn,363,4.606,0.353,4.959,0.615,0.986,0.847,0.764,84.6,79.0,0.039,0.785,0.085,0.036,0.055,72,72,72,223,13,31,285,14,20,9.2,3.332,3.286,0.974,0.921,0.803,0.011,0.138,0.061,0.49,0.952,0.197,High Graduation
13K605,K605,George Westinghouse Career and Technical Education,High School,Brooklyn,776,12.714,0.951,13.664,0.748,0.924,0.486,0.566,66.6,65.5,0.04,0.683,0.235,0.017,0.025,144,144,144,580,13,182,530,31,19,1.9,2.753,2.63,0.97,0.884,0.632,0.023,0.174,0.095,0.642,0.623,0.368,Medium Graduation
13K670,K670,Benjamin Banneker Academy,High School,Brooklyn,810,9.631,0.575,10.206,0.666,0.984,0.873,0.77,77.1,71.4,0.053,0.799,0.111,0.009,0.028,189,189,189,539,7,90,647,43,23,3.0,3.256,3.168,0.964,0.889,0.633,0.015,0.146,0.078,0.535,0.796,0.367,High Graduation
13K674,K674,"City Polytechnic High School of Engineering, Archi",High School,Brooklyn,426,5.865,0.431,6.296,0.633,0.855,0.723,0.518,72.3,62.7,0.054,0.655,0.214,0.061,0.016,83,83,83,270,26,91,279,23,7,1.2,2.98,2.998,0.97,0.909,0.725,0.016,0.19,0.063,0.509,0.759,0.275,Medium Graduation
14K071,K071,Juan Morel Campos Secondary School,High School,Brooklyn,329,12.214,1.027,13.241,0.917,0.604,0.24,0.151,68.0,61.8,0.015,0.14,0.769,0.064,0.012,96,96,96,302,21,253,46,5,4,2.7,2.334,2.137,0.961,0.866,0.601,0.304,0.307,0.191,0.842,0.767,0.399,Low Graduation
14K449,K449,"Brooklyn Latin School, The",High School,Brooklyn,698,7.078,0.018,7.095,0.555,0.974,0.974,1.0,89.2,88.3,0.547,0.122,0.12,0.13,0.081,156,156,156,387,91,84,85,382,57,6.1,3.954,4.182,0.968,0.936,0.745,0.0,0.023,0.044,0.43,1.0,0.255,High Graduation
14K454,K454,The Williamsburg High School of Art and Technology,High School,Brooklyn,302,5.158,0.432,5.59,0.827,0.817,0.31,0.282,64.6,61.8,0.033,0.225,0.675,0.053,0.014,71,71,71,250,16,204,68,10,4,7.5,2.582,2.417,0.966,0.851,0.516,0.238,0.252,0.185,0.715,0.833,0.484,Medium Graduation
14K474,K474,PROGRESS High School for Professional Careers,High School,Brooklyn,674,10.514,0.933,11.447,0.882,0.762,0.288,0.268,60.0,59.9,0.006,0.273,0.688,0.012,0.021,223,222,222,594,8,464,184,4,14,0.5,2.582,2.339,0.96,0.781,0.472,0.206,0.212,0.141,0.777,0.705,0.528,Low Graduation
14K477,K477,East Williamsburg Scholars Academy,High School,Brooklyn,304,4.812,0.451,5.263,0.885,0.741,0.282,0.447,61.4,59.2,0.007,0.355,0.615,0.01,0.013,85,85,85,269,3,187,108,2,4,5.4,2.508,2.22,0.963,0.73,0.398,0.329,0.217,0.207,0.727,0.957,0.602,Low Graduation
14K478,K478,"The High School for Enterprise, Business and Techn",High School,Brooklyn,831,11.402,0.807,12.209,0.827,0.808,0.367,0.452,70.7,60.4,0.058,0.303,0.613,0.019,0.007,177,177,177,687,16,509,252,48,6,8.9,2.731,2.561,0.959,0.85,0.58,0.119,0.162,0.111,0.732,0.939,0.42,Medium Graduation
14K488,K488,Brooklyn Preparatory High School,High School,Brooklyn,527,6.623,0.415,7.038,0.757,0.928,0.647,0.353,71.9,66.6,0.009,0.433,0.528,0.015,0.015,139,139,139,399,8,278,228,5,8,9.0,2.929,2.718,0.964,0.838,0.535,0.021,0.188,0.112,0.645,0.743,0.465,Medium Graduation
14K558,K558,Williamsburg High School for Architecture and Desi,High School,Brooklyn,580,7.839,0.767,8.606,0.714,0.976,0.829,0.959,76.8,69.5,0.022,0.284,0.61,0.064,0.02,123,123,123,414,37,354,165,13,12,10.6,2.843,2.692,0.981,0.924,0.824,0.031,0.222,0.088,0.602,0.857,0.176,High Graduation
14K561,K561,Williamsburg Preparatory School,High School,Brooklyn,682,8.355,0.54,8.895,0.791,0.96,0.76,0.523,75.9,71.9,0.031,0.157,0.704,0.092,0.016,151,150,150,539,63,480,107,21,11,8.6,2.871,2.663,0.972,0.903,0.708,0.047,0.211,0.072,0.692,0.911,0.292,High Graduation
14K586,K586,Lyons Community School,High School,Brooklyn,298,6.933,0.67,7.604,0.898,0.724,0.553,0.132,69.6,66.49,0.0,0.302,0.658,0.034,0.006,76,76,76,268,10,196,90,0,2,12.1,2.449,2.141,0.969,0.788,0.467,0.128,0.242,0.164,0.829,0.786,0.533,Low Graduation
14K610,K610,Automotive High School,High School,Brooklyn,329,8.639,0.566,9.205,0.808,0.7,0.325,0.188,64.2,59.6,0.03,0.492,0.419,0.027,0.032,80,80,80,266,9,138,162,10,11,1.0,2.437,2.29,0.953,0.835,0.528,0.064,0.34,0.109,0.726,0.811,0.472,Low Graduation
14K614,K614,Young Women's Leadership School of Brooklyn,High School,Brooklyn,225,5.763,0.337,6.101,0.797,0.968,0.516,0.5,75.2,65.6,0.044,0.427,0.427,0.067,0.035,31,31,31,179,15,96,96,10,8,2.9,2.828,2.584,0.962,0.86,0.576,0.111,0.156,0.111,0.711,0.742,0.424,High Graduation
14K685,K685,El Puente Academy for Peace and Justice,High School,Brooklyn,224,4.029,0.232,4.261,0.892,0.786,0.696,0.429,71.0,66.49,0.004,0.049,0.924,0.004,0.019,56,56,56,200,1,207,11,1,4,8.0,2.458,2.203,0.982,0.817,0.339,0.183,0.263,0.143,0.835,0.813,0.661,Low Graduation
15K429,K429,Digital Arts and Cinema Technology High School,High School,Brooklyn,246,4.39,0.306,4.696,0.761,0.977,0.488,0.302,75.7,69.8,0.037,0.545,0.35,0.053,0.015,43,43,43,187,13,86,134,9,4,5.8,2.854,2.669,0.977,0.906,0.68,0.004,0.215,0.049,0.667,0.7,0.32,High Graduation
15K448,K448,Brooklyn Collaborative Studies,High School,Brooklyn,389,11.164,0.744,11.908,0.708,0.914,0.839,0.957,70.3,66.49,0.031,0.393,0.478,0.075,0.023,93,93,93,275,29,186,153,12,9,5.0,2.979,2.629,0.966,0.863,0.529,0.062,0.262,0.069,0.578,0.918,0.471,Medium Graduation
15K462,K462,John Jay School for Law,High School,Brooklyn,436,5.697,0.328,6.025,0.756,0.907,0.613,0.307,77.3,59.0,0.023,0.626,0.294,0.028,0.029,75,75,75,330,12,128,273,10,13,2.1,2.847,2.549,0.972,0.843,0.534,0.032,0.188,0.115,0.661,0.576,0.466,Medium Graduation
15K463,K463,Secondary School for Journalism,High School,Brooklyn,268,3.313,0.254,3.567,0.805,0.667,0.421,0.14,63.9,58.2,0.067,0.459,0.373,0.086,0.015,57,57,57,216,23,100,123,18,4,0.6,2.77,2.429,0.952,0.813,0.45,0.142,0.201,0.116,0.69,0.933,0.55,Low Graduation
15K464,K464,Park Slope Collegiate,High School,Brooklyn,440,9.38,0.525,9.906,0.706,0.857,0.602,0.898,75.4,64.9,0.043,0.382,0.457,0.093,0.025,98,98,98,311,41,201,168,19,11,15.1,2.8,2.635,0.963,0.845,0.526,0.073,0.207,0.068,0.611,0.736,0.474,Medium Graduation
15K497,K497,The Boerum Hill School for International Studies,High School,Brooklyn,286,9.177,0.125,9.302,0.674,0.725,0.373,0.324,65.6,61.7,0.056,0.406,0.29,0.182,0.066,51,51,51,193,52,83,116,16,19,2.0,2.786,2.577,0.963,0.813,0.534,0.108,0.22,0.087,0.577,0.528,0.466,Low Graduation
15K519,K519,Cobble Hill School of American Studies,High School,Brooklyn,582,8.656,0.767,9.423,0.829,0.869,0.414,0.669,62.9,58.9,0.034,0.62,0.29,0.027,0.029,145,145,145,482,16,169,361,20,17,8.9,2.775,2.406,0.964,0.802,0.57,0.113,0.189,0.162,0.729,0.595,0.43,Medium Graduation
15K592,K592,Khalil Gibran International Academy,High School,Brooklyn,226,4.466,0.235,4.701,0.861,0.561,0.333,0.273,57.3,60.6,0.177,0.358,0.08,0.314,0.071,66,66,66,195,71,18,81,40,16,7.9,2.601,2.519,0.965,0.831,0.502,0.372,0.181,0.119,0.792,0.6,0.498,Low Graduation
15K656,K656,Brooklyn High School of the Arts,High School,Brooklyn,939,12.338,0.524,12.862,0.658,0.914,0.675,0.556,76.5,67.1,0.034,0.653,0.213,0.048,0.052,197,197,197,618,45,200,613,32,49,3.0,3.149,2.808,0.966,0.892,0.656,0.011,0.176,0.073,0.534,0.723,0.344,Medium Graduation
